South Africa,2021-02-28,70527,70527,70527,2021-02-28,710,
Spain,2021-02-28,3829465,2567617,1261848,2021-02-28,724,
Sri Lanka,2021-02-28,466350,466350,0,2021-02-28,144,
Suriname,2021-02-28,0,0,0,2021-02-28,740,
Sweden,2021-02-28,845688,552097,293591,2021-02-28,752,
Switzerland,2021-02-28,806691,545253,261438,2021-02-28,756,
Thailand,2021-02-28,0,0,0,2021-02-28,764,
Trinidad and Tobago,2021-02-28,991,991,0,2021-02-28,780,
Turkey,2021-02-28,8547875,6869923,1677952,2021-02-28,792,
Ukraine,2021-02-28,3141,3141,0,2021-02-28,804,
United Arab Emirates,2021-02-28,6020461,3480415,2187849,2021-02-28,784,
United Kingdom,2021-02-28,21091267,20275451,815816,2021-02-28,826,
Uruguay,2021-02-28,375,375,0,2021-02-28,858,
US,2021-02-28,75236003,49772180,24779920,2021-02-28,840,
Venezuela,2021-02-28,157,157,0,2021-02-28,862,
World,2021-02-28,255067613,148081315,52548336,2021-02-28,,
Zimbabwe,2021-02-28,18843,18843,0,2021-02-28,716,
Afghanistan,2021-03-31,54000,54000,0,2021-03-31,4,
Albania,2021-03-31,138846,6073,655,2021-03-31,8,
Andorra,2021-03-31,9288,7098,1265,2021-03-31,20,
Angola,2021-03-31,130750,130750,0,2021-03-31,24,
Antigua and Barbuda,2021-03-31,26836,26836,0,2021-03-31,28,
Argentina,2021-03-31,3891932,3214538,677394,2021-03-31,32,
Armenia,2021-03-31,565,565,0,2021-03-31,51,
Australia,2021-03-31,670349,159294,0,2021-03-31,36,
Austria,2021-03-31,1692216,1235421,456803,2021-03-31,40,
Azerbaijan,2021-03-31,510420,510420,0,2021-03-31,31,
Bahamas,2021-03-31,7000,7000,0,2021-03-31,44,
Bahrain,2021-03-31,766317,510877,255440,2021-03-31,48,
Bangladesh,2021-03-31,5370431,5370431,0,2021-03-31,50,
Barbados,2021-03-31,63728,63728,0,2021-03-31,52,
Belarus,2021-03-31,66618,40518,26100,2021-03-31,112,
Belgium,2021-03-31,1954192,1407315,547057,2021-03-31,56,
Belize,2021-03-31,22067,22067,0,2021-03-31,84,
Bhutan,2021-03-31,394765,394765,0,2021-03-31,64,
Bolivia,2021-03-31,304185,194880,109305,2021-03-31,68,
Bosnia and Herzegovina,2021-03-31,0,0,0,2021-03-31,70,
Botswana,2021-03-31,0,0,0,2021-03-31,72,
Brazil,2021-03-31,19155981,14921376,4234605,2021-03-31,76,
Bulgaria,2021-03-31,472443,377440,95003,2021-03-31,100,
Burma,2021-03-31,1040000,1000000,40000,2021-03-31,104,
Cambodia,2021-03-31,645765,407249,238516,2021-03-31,116,
Canada,2021-03-31,5690380,5004406,685974,2021-03-31,124,
Chile,2021-03-31,10478971,6797749,3681222,2021-03-31,152,
China,2021-03-31,119821000,0,0,2021-03-31,156,
Colombia,2021-03-31,2243392,1957325,286067,2021-03-31,170,
Costa Rica,2021-03-31,384355,224092,160263,2021-03-31,188,
Cote d'Ivoire,2021-03-31,40153,40153,0,2021-03-31,384,
Croatia,2021-03-31,476499,385724,89313,2021-03-31,191,
Cyprus,2021-03-31,129438,93475,35963,2021-03-31,196,
Czechia,2021-03-31,1720822,1204706,516116,2021-03-31,203,
Denmark,2021-03-31,1132089,742534,389555,2021-03-31,208,
Dominica,2021-03-31,17674,17674,0,2021-03-31,212,
Dominican Republic,2021-03-31,910869,856474,54395,2021-03-31,214,
Ecuador,2021-03-31,244866,182329,62537,2021-03-31,218,
Egypt,2021-03-31,164534,164534,0,2021-03-31,818,
El Salvador,2021-03-31,99855,99855,0,2021-03-31,222,
Equatorial Guinea,2021-03-31,12155,9748,2407,2021-03-31,226,
Estonia,2021-03-31,266899,203189,63710,2021-03-31,233,
Eswatini,2021-03-31,0,0,0,2021-03-31,748,
Fiji,2021-03-31,0,0,0,2021-03-31,242,
Finland,2021-03-31,981534,892580,88954,2021-03-31,246,
France,2021-03-31,11533745,8662653,2871092,2021-03-31,250,
Gabon,2021-03-31,301,301,0,2021-03-31,266,
Gambia,2021-03-31,5345,5345,0,2021-03-31,270,
Georgia,2021-03-31,7822,7822,0,2021-03-31,268,
Germany,2021-03-31,14170469,9942432,4228037,2021-03-31,276,
Ghana,2021-03-31,500000,500000,0,2021-03-31,288,
Greece,2021-03-31,1699807,1092633,607174,2021-03-31,300,
Grenada,2021-03-31,10084,10084,0,2021-03-31,308,
Guatemala,2021-03-31,108165,106973,1192,2021-03-31,320,
Guinea,2021-03-31,62645,59993,2652,2021-03-31,324,
Guyana,2021-03-31,32714,32714,0,2021-03-31,328,
Honduras,2021-03-31,43073,43073,0,2021-03-31,340,
Hungary,2021-03-31,2853155,2065948,787207,2021-03-31,348,
Iceland,2021-03-31,72987,49289,23698,2021-03-31,352,
India,2021-03-31,65117896,55783201,9334695,2021-03-31,356,
Indonesia,2021-03-31,11805314,8095717,3709597,2021-03-31,360,
Iran,2021-03-31,319890,124193,0,2021-03-31,364,
Iraq,2021-03-31,26727,26727,0,2021-03-31,368,
Ireland,2021-03-31,865460,619003,246457,2021-03-31,372,
Israel,2021-03-31,10042674,5248442,4794232,2021-03-31,376,
Italy,2021-03-31,10367325,7126492,3240833,2021-03-31,380,
Jamaica,2021-03-31,33000,33000,0,2021-03-31,388,
Japan,2021-03-31,1002739,877159,125580,2021-03-31,392,
Jordan,2021-03-31,409203,304946,104257,2021-03-31,400,
Kazakhstan,2021-03-31,109995,90748,19247,2021-03-31,398,
Kenya,2021-03-31,161771,161771,0,2021-03-31,404,
Kosovo,2021-03-31,0,0,0,2021-03-31,383,
Kuwait,2021-03-31,604861,500000,38000,2021-03-31,414,
Kyrgyzstan,2021-03-31,0,0,0,2021-03-31,417,
Laos,2021-03-31,40732,40732,0,2021-03-31,418,
Latvia,2021-03-31,140276,115961,24315,2021-03-31,428,
